year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2010,Alabama,AL,State House,1,general,Greg Burdine,Democratic,7083,50.7,True,False
2010,Alabama,AL,State House,1,general,Quinton Hanson,Republican,6877,49.2,False,False
2010,Alabama,AL,State House,2,general,Lynn Greer,Republican,7599,54.7,True,False
2010,Alabama,AL,State House,2,general,Mike Curtis,Democratic,6284,45.2,False,True
2010,Alabama,AL,State House,3,general,Marcel Black,Democratic,9076,97.5,True,True
2010,Alabama,AL,State House,4,general,Micky Hammon,Republican,12153,69.8,True,True
2010,Alabama,AL,State House,4,general,Vaughn Goodwin,Democratic,5244,30.1,False,False
2010,Alabama,AL,State House,5,general,Dan Williams,Republican,8807,56.5,True,False
2010,Alabama,AL,State House,5,general,Henry A. White,Democratic,5402,34.7,False,True
2010,Alabama,AL,State House,5,general,Jerry Hill,Independent (politician),1359,8.7,False,False
2010,Alabama,AL,State House,6,general,Phil Williams,Republican,9880,97.0,True,False
2010,Alabama,AL,State House,7,general,Ken Johnson,Republican,7096,50.62,True,False
2010,Alabama,AL,State House,7,general,"John ""Jody"" Letson",Democratic,6911,49.3,False,True
2010,Alabama,AL,State House,8,general,Terri Collins,Republican,6574,56.0,True,False
2010,Alabama,AL,State House,8,general,Drama Breland,Democratic,5147,43.9,False,False
2010,Alabama,AL,State House,9,general,Ed Henry,Republican,11405,72.6,True,False
2010,Alabama,AL,State House,9,general,Kathy White Goodwin,Democratic,4294,27.3,False,False
2010,Alabama,AL,State House,10,general,Mike Ball,Republican,11950,98.4,True,True
2010,Alabama,AL,State House,11,general,Jeremy Oden,Republican,12977,98.9,True,True
2010,Alabama,AL,State House,12,general,Mac Buttram,Republican,9062,54.1,True,False
2010,Alabama,AL,State House,12,general,James C. Fields,Democratic,7667,45.8,False,True
2010,Alabama,AL,State House,13,general,Bill Roberts,Republican,7990,60.6,True,False
2010,Alabama,AL,State House,13,general,Tommy Sherer,Democratic,5186,39.3,False,True
2010,Alabama,AL,State House,14,general,Richard Baughn,Republican,9327,69.2,True,False
2010,Alabama,AL,State House,14,general,Ken Guin,Democratic,4121,30.6,False,True
2010,Alabama,AL,State House,15,general,Allen Farley,Republican,14117,99.1,True,False
2010,Alabama,AL,State House,16,general,Daniel Boman,Republican,7451,53.8,True,False
2010,Alabama,AL,State House,16,general,William E. Thigpen Sr.,Democratic,6379,46.1,False,True
2010,Alabama,AL,State House,17,general,Mike Millican,Democratic,8107,96.7,True,True
2010,Alabama,AL,State House,18,general,Johnny Mack Morrow,Democratic,8344,97.4,True,True
2010,Alabama,AL,State House,19,general,Laura Hall,Democratic,10669,97.4,True,True
2010,Alabama,AL,State House,20,general,Howard Sanderford,Republican,17733,98.8,True,True
