year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2012,Arizona,AZ,State House,1,general,Andy Tobin,Republican,62379,50.64,True,True
2012,Arizona,AZ,State House,1,general,Karen Fann,Republican,60800,49.36,True,True
2012,Arizona,AZ,State House,2,general,Andrea Dalessandro,Democratic,28266,35.77,True,False
2012,Arizona,AZ,State House,2,general,Rosanna Gabaldón,Democratic,27081,34.27,True,False
2012,Arizona,AZ,State House,2,general,John Christopher Ackerley,Republican,23677,29.96,False,False
2012,Arizona,AZ,State House,3,general,Sally Ann Gonzales,Democratic,35795,53.86,True,True
2012,Arizona,AZ,State House,3,general,Macario Saldate,Democratic,30662,46.14,True,True
2012,Arizona,AZ,State House,4,general,Lisa Otondo,Democratic,23334,53.24,True,False
2012,Arizona,AZ,State House,4,general,"Juan Carlos ""J.C."" Escamilla",Democratic,20498,46.76,True,False
2012,Arizona,AZ,State House,5,general,Doris Goodale,Republican,41217,42.48,True,True
2012,Arizona,AZ,State House,5,general,Sonny Borrelli,Republican,35154,36.23,True,False
2012,Arizona,AZ,State House,5,general,P.L. Durbin,Democratic,20647,21.28,False,False
2012,Arizona,AZ,State House,6,general,Bob Thorpe,Republican,42675,27.64,True,False
2012,Arizona,AZ,State House,6,general,Brenda Barton,Republican,41122,26.64,True,True
2012,Arizona,AZ,State House,6,general,Angela LeFevre,Democratic,36302,23.52,False,False
2012,Arizona,AZ,State House,6,general,Doug Ballard,Democratic,34274,22.2,False,False
2012,Arizona,AZ,State House,7,general,Albert Hale,Democratic,40245,58.74,True,True
2012,Arizona,AZ,State House,7,general,Jamescita Peshlakai,Democratic,28269,41.26,True,False
2012,Arizona,AZ,State House,8,general,Frank Pratt,Republican,24195,27.6,True,True
2012,Arizona,AZ,State House,8,general,"Thomas ""T. J."" Shope",Republican,22102,25.21,True,False
2012,Arizona,AZ,State House,8,general,Ernest Bustamante,Democratic,21258,24.25,False,False
2012,Arizona,AZ,State House,8,general,Emily Verdugo,Democratic,20102,22.93,False,False
2012,Arizona,AZ,State House,9,general,Victoria Steele,Democratic,44609,35.05,True,False
2012,Arizona,AZ,State House,9,general,Ethan Orr,Republican,42626,33.49,True,False
2012,Arizona,AZ,State House,9,general,Mohur Sarah Sidhwa,Democratic,40034,31.46,False,False
2012,Arizona,AZ,State House,10,general,Bruce Wheeler,Democratic,43058,27.38,True,True
2012,Arizona,AZ,State House,10,general,Stefanie Mach,Democratic,40843,25.97,True,False
2012,Arizona,AZ,State House,10,general,Ted Vogt,Republican,37758,24.01,False,True
2012,Arizona,AZ,State House,10,general,Todd A. Clodfelter,Republican,35609,22.64,False,False
2012,Arizona,AZ,State House,11,general,Steve Smith,Republican,44928,36.72,True,False
2012,Arizona,AZ,State House,11,general,Adam Kwasman,Republican,41732,34.1,True,False
2012,Arizona,AZ,State House,11,general,Dave Joseph,Democratic,35707,29.18,False,False
2012,Arizona,AZ,State House,12,general,Eddie Farnsworth,Republican,53925,50.63,True,True
2012,Arizona,AZ,State House,12,general,Warren Petersen,Republican,52590,49.37,True,False
2012,Arizona,AZ,State House,13,general,Steve Montenegro,Republican,39372,51.67,True,True
2012,Arizona,AZ,State House,13,general,Darin Mitchell,Republican,35968,47.21,True,False
2012,Arizona,AZ,State House,13,general,Robert Garcia,Republican,323,0.42,False,False
2012,Arizona,AZ,State House,13,general,John Minore,Republican,225,0.3,False,False
2012,Arizona,AZ,State House,13,general,Cheryl Brown,Republican,194,0.25,False,False
2012,Arizona,AZ,State House,13,general,"Clair ""Van""",Republican,110,0.14,False,False
2012,Arizona,AZ,State House,14,general,David Gowan,Republican,43967,30.75,True,True
2012,Arizona,AZ,State House,14,general,David Stevens,Republican,43585,30.48,True,True
2012,Arizona,AZ,State House,14,general,Mark Stonebraker,Democratic,27769,19.42,False,False
2012,Arizona,AZ,State House,14,general,Robert Leach,Democratic,27675,19.35,False,False
