year,state,state_code,office,candidate,party,percentage,winner,incumbent
2018,Alabama,AL,governor,Kay Ivey,Republican,59.5,True,True
2018,Alabama,AL,governor,Walt Maddox,Democratic,40.4,False,False
2018,Alaska,AK,governor,Mike Dunleavy,Republican,51.4,True,False
2018,Alaska,AK,governor,Mark Begich,Democratic,44.4,False,False
2018,Alaska,AK,governor,Bill Walker,Independent,2.0,False,True
2018,Alaska,AK,governor,William Toien,Libertarian,1.9,False,False
2018,Arizona,AZ,governor,Doug Ducey,Republican,56.0,True,True
2018,Arizona,AZ,governor,David Garcia,Democratic,41.8,False,False
2018,Arizona,AZ,governor,Angel Torres,Green,2.1,False,False
2018,Arkansas,AR,governor,Asa Hutchinson,Republican,65.3,True,True
2018,Arkansas,AR,governor,Jared Henderson,Democratic,31.8,False,False
2018,Arkansas,AR,governor,Mark West,Libertarian,2.9,False,False
2018,California,CA,governor,Gavin Newsom,Democratic,61.9,True,False
2018,California,CA,governor,John H. Cox,Republican,38.1,False,False
2018,Colorado,CO,governor,Jared Polis,Democratic,53.4,True,False
2018,Colorado,CO,governor,Walker Stapleton,Republican,42.8,False,False
2018,Colorado,CO,governor,Scott Helker,Libertarian,2.7,False,False
2018,Colorado,CO,governor,Bill Hammons,Unity,1.0,False,False
2018,Connecticut,CT,governor,Ned Lamont,Democratic,49.4,True,False
2018,Connecticut,CT,governor,Bob Stefanowski,Republican,46.2,False,False
2018,Connecticut,CT,governor,Oz Griebel,Independent,3.9,False,False
2018,Florida,FL,governor,Ron DeSantis,Republican,49.6,True,False
2018,Florida,FL,governor,Andrew Gillum,Democratic,49.2,False,False
2018,Georgia,GA,governor,Brian Kemp,Republican,50.2,True,False
2018,Georgia,GA,governor,Stacey Abrams,Democratic,48.8,False,False
2018,Hawaii,HI,governor,David Ige,Democratic,62.7,True,True
2018,Hawaii,HI,governor,Andria Tupola,Republican,33.7,False,False
2018,Hawaii,HI,governor,Jim Brewer,Green,2.6,False,False
2018,Hawaii,HI,governor,Terrence Teruya,Nonpartisan Politician,1.0,False,False
2018,Idaho,ID,governor,Brad Little,Republican,59.8,True,False
2018,Idaho,ID,governor,Paulette Jordan,Democratic,38.2,False,False
2018,Idaho,ID,governor,Bev Boeck,Libertarian,1.1,False,False
2018,Idaho,ID,governor,Walter L. Bayes,Constitution,1.0,False,False
2018,Illinois,IL,governor,J. B. Pritzker,Democratic,54.5,True,False
2018,Illinois,IL,governor,Bruce Rauner,Republican,38.8,False,True
2018,Illinois,IL,governor,Sam McCann,Conservative,4.2,False,False
2018,Illinois,IL,governor,Kash Jackson,Libertarian,2.4,False,False
2018,Iowa,IA,governor,Kim Reynolds,Republican,50.3,True,True
2018,Iowa,IA,governor,Fred Hubbell,Democratic,47.5,False,False
2018,Iowa,IA,governor,Jake Porter,Libertarian,1.6,False,False
2018,Kansas,KS,governor,Laura Kelly,Democratic,48.0,True,False
2018,Kansas,KS,governor,Kris Kobach,Republican,43.0,False,False
