year,state,state_code,office,candidate,party,percentage,winner,incumbent
2016,Delaware,DE,governor,John Carney,Democratic,58.3,True,False
2016,Delaware,DE,governor,Colin Bonini,Republican,39.2,False,False
2016,Delaware,DE,governor,Andrew Groff,Green,1.4,False,False
2016,Delaware,DE,governor,Sean Louis Goward,Libertarian,1.1,False,False
2016,Indiana,IN,governor,Eric Holcomb,Republican,51.4,True,False
2016,Indiana,IN,governor,John R. Gregg,Democratic,45.4,False,False
2016,Indiana,IN,governor,Rex Bell,Libertarian,3.2,False,False
2016,Missouri,MO,governor,Eric Greitens,Republican,51.1,True,False
2016,Missouri,MO,governor,Chris Koster,Democratic,45.6,False,False
2016,Missouri,MO,governor,Cisse Spragins,Libertarian,1.5,False,False
2016,Missouri,MO,governor,Don Fitz,Green,0.75,False,False
2016,Montana,MT,governor,Steve Bullock,Democratic,50.3,True,True
2016,Montana,MT,governor,Greg Gianforte,Republican,46.4,False,False
2016,Montana,MT,governor,Ted Dunlap,Libertarian,3.4,False,False
2016,New Hampshire,NH,governor,Chris Sununu,Republican,48.8,True,False
2016,New Hampshire,NH,governor,Colin Van Ostern,Democratic,46.6,False,False
2016,New Hampshire,NH,governor,Max Abramson,Libertarian,4.3,False,False
2016,North Carolina,NC,governor,Roy Cooper,Democratic,49.0,True,False
2016,North Carolina,NC,governor,Pat McCrory,Republican,48.8,False,True
2016,North Carolina,NC,governor,Lon Cecil,Libertarian,2.2,False,False
2016,North Dakota,ND,governor,Doug Burgum,Republican,76.5,True,False
2016,North Dakota,ND,governor,Marvin Nelson,North Dakota Democratic–nonpartisan League,19.4,False,False
2016,North Dakota,ND,governor,Marty Riske,Libertarian,3.9,False,False
2016,Oregon,OR,governor,Kate Brown,Democratic,50.6,True,True
2016,Oregon,OR,governor,Bud Pierce,Republican,43.6,False,False
2016,Oregon,OR,governor,James Foster,Libertarian,2.3,False,False
2016,Oregon,OR,governor,Aaron Donald Auer,Constitution,1.0,False,False
2016,Utah,UT,governor,Gary Herbert,Republican,66.7,True,True
2016,Utah,UT,governor,Mike Weinholtz,Democratic,28.7,False,False
2016,Utah,UT,governor,Brian Kamerath,Libertarian,3.1,False,False
2016,Utah,UT,governor,Superdell Schnaze,Constitution,1.4,False,False
2016,Vermont,VT,governor,Phil Scott,Republican,52.9,True,False
2016,Vermont,VT,governor,Sue Minter,Democratic,44.2,False,False
2016,Vermont,VT,governor,Bill Lee,Independent,2.8,False,False
2016,Washington,WA,governor,Jay Inslee,Democratic,54.2,True,True
2016,Washington,WA,governor,Bill Bryant (politician)|Bill Bryant,Republican,45.5,False,False
2016,West Virginia,WV,governor,Jim Justice,Democratic,49.1,True,False
2016,West Virginia,WV,governor,Bill Cole,Republican,42.3,False,False
2016,West Virginia,WV,governor,Charlotte Pritt,Mountain,5.9,False,False
2016,West Virginia,WV,governor,David Moran,Libertarian,2.2,False,False
2016,West Virginia,WV,governor,Phil Hudok,Constitution,0.6,False,False
2016,American Samoa,AS,governor,Lolo Matalasi Moliga,Nonpartisan Politician,60.2,True,True
2016,American Samoa,AS,governor,Faoa Aitofele Sunia,Nonpartisan Politician,35.8,False,False
2016,American Samoa,AS,governor,Tuika Tuika,Nonpartisan Politician,4.0,False,False
2016,Puerto Rico,PR,governor,Ricardo Rosselló,New Progressive Party (puerto Rico),41.8,True,False
2016,Puerto Rico,PR,governor,David Bernier,Popular Democratic Party (puerto Rico),38.9,False,False
2016,Puerto Rico,PR,governor,Alexandra Lúgaro,Independent,11.1,False,False
2016,Puerto Rico,PR,governor,Manuel Cidre,Independent,5.7,False,False
2016,Puerto Rico,PR,governor,María de Lourdes Santiago,Independence Party (puerto Rico),2.1,False,False
