Year,State,Primary_Type,Poll_Source,Date,Sample,MoE,Candidate,Party,Pct,Incumbent
2018,Arizona,General,The Trafalgar Group (R),"November 4–5, 2018","1,217",± 2.8%,Martha McSally,R,47%,False
2018,Arizona,General,HarrisX,"November 3–5, 2018",600,± 4.0%,Martha McSally,R,44%,False
2018,Arizona,General,HarrisX,"November 2–4, 2018",600,± 4.0%,Martha McSally,R,46%,False
2018,Arizona,General,OH Predictive Insights,"November 2–3, 2018",631,± 3.9%,Martha McSally,R,49%,False
2018,Arizona,General,Emerson College,"November 1–3, 2018",758,± 3.7%,Martha McSally,R,48%,False
2018,Arizona,General,HarrisX,"November 1–3, 2018",600,± 4.0%,Martha McSally,R,48%,False
2018,Arizona,General,Research Co.,"November 1–3, 2018",450,± 4.6%,Martha McSally,R,44%,False
2018,Arizona,General,HarrisX,"October 31 – November 2, 2018",600,± 4.0%,Martha McSally,R,49%,False
2018,Arizona,General,Gravis Marketing,"October 24 – November 2, 2018","1,165",± 2.9%,Martha McSally,R,47%,False
2018,Arizona,General,HarrisX,"October 30 – November 1, 2018",600,± 4.0%,Martha McSally,R,48%,False
2018,Arizona,General,The Trafalgar Group (R),"October 30 – November 1, 2018","2,166",± 2.1%,Martha McSally,R,47%,False
2018,Arizona,General,HarrisX,"October 29–31, 2018",600,± 4.0%,Martha McSally,R,49%,False
2018,Arizona,General,Vox Populi Polling,"October 27–30, 2018",677,± 3.7%,Martha McSally,R,48%,False
2018,Arizona,General,HarrisX,"October 24–30, 2018","1,400",± 2.6%,Martha McSally,R,48%,False
2018,Arizona,General,FOX News,"October 27–29, 2018",643 LV,± 3.5%,Martha McSally,R,46%,False
2018,Arizona,General,CNN,"October 24–29, 2018",702 LV,± 4.4%,Martha McSally,R,47%,False
2018,Arizona,General,HighGround Public Affairs,"October 26–28, 2018",400,± 4.9%,Martha McSally,R,47%,False
2018,Arizona,General,NBC News,"October 23–27, 2018",506 LV,± 5.4%,Martha McSally,R,44%,False
2018,Arizona,General,CBS News,"October 23–26, 2018",972,± 4.1%,Martha McSally,R,44%,False
2018,Arizona,General,Ipsos,"October 17–26, 2018",799,± 4.0%,Martha McSally,R,48%,False
2018,Arizona,General,OH Predictive Insights,"October 22–23, 2018",600,± 4.0%,Martha McSally,R,52%,False
2018,Arizona,General,NYT Upshot,"October 15–19, 2018",606,± 4.2%,Martha McSally,R,48%,False
2018,Arizona,General,Data Orbital,"October 16–17, 2018",600,± 4.0%,Martha McSally,R,41%,False
2018,Arizona,General,Change Research (D),"October 9–10, 2018",783,,Martha McSally,R,44%,False
2018,Arizona,General,CBS News,"October 2–5, 2018",898,,Martha McSally,R,44%,False
2018,Arizona,General,OH Predictive Insights,"October 1–2, 2018",600,± 4.0%,Martha McSally,R,47%,False
2018,Arizona,General,FOX News,"September 29 – October 2, 2018",716 LV,± 3.5%,Martha McSally,R,45%,False
2018,Arizona,General,Vox Populi Polling,"September 29 – October 1, 2018",702,± 3.5%,Martha McSally,R,52%,False
2018,Arizona,General,Suffolk University,"September 27–30, 2018",500,± 4.4%,Martha McSally,R,42%,False
2018,Arizona,General,Latino Decisions,"September 10–25, 2018",463 LV,,Martha McSally,R,41%,False
